,Date,A5G.IR,ABN.AS,ACA.PA,ALPHA.AT,BAMI.MI,BARC.L,BBVA,BCP.LS,BIRG.IR,BKT.MC,BMPS.MI,BNP.PA,BPE.MI,CABK.MC,CBK.DE,DANSKE.CO,DBK.DE,DNB.OL,EBO.DE,ETE.AT,EUROB.AT,GLE.PA,INGA.AS,ISP.MI,JYSK.CO,KBC.BR,MB.MI,NDA-SE.ST,OTP.BD,PEO.WA,PKO.WA,RAW.DE,SAB.MC,SAN.MC,SEB-A.ST,SHB-A.ST,SWED-A.ST,SYDB.CO,TPEIR.AT,UCG.MI,UNI.MC,stoxx,cor,banks_index,spread,index,spread_ch
4236,2016-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.6001445430491285,0.0,5.12,0.0,0.0
4241,2016-04-04,0.029882575922196564,-0.008155256027216118,-0.0021166484488515103,-0.04188477754141884,-0.07372079935840137,0.0016666666666667052,0.0,-0.008379303049290687,0.0156250785795633,-0.0068254317381895024,-0.03786057692307687,-0.003295090427090863,0.017678060409551444,-0.022222165383393055,0.009232415418632511,-0.01145033214075164,-0.0073776136349221755,-0.015897467197516058,0.007518852945859411,-0.05511805849928453,-0.04805194986150052,0.0020052020630314527,0.004803092360015082,-0.02529508571258554,-0.004343427484093221,0.007614456063509634,0.010358574698420497,-0.007737022306951724,0.003757225433526079,0.0037037413797260665,0.0010941169424518726,-0.004665588456001957,-0.005124640993879992,-0.0036890504027808912,0.01606683741603998,0.010752672935547825,0.004603009422960547,0.0026638252963737674,-0.08482145375515115,-0.027096736560955348,,0.00294612794612803,0.5758391530585889,-0.07279843444227019,5.02,-0.02221307410219331,-0.01953125000000011
4246,2016-04-11,-0.08133482485054011,0.017445101742073588,0.009888964070184247,-0.00558658697003811,0.10300164834983327,0.018579980812603925,0.006472485916521498,0.006061739486075135,-0.008129993051039452,0.0061970167972345,0.0977683315621678,0.009061577226035178,0.048394646332264646,0.016901431422994495,0.031629519230034875,0.00515460403793333,0.0007147491129793071,0.008273041127250469,-0.0022490413145520582,0.016736384977954266,0.00405400180747062,0.010199143005446665,0.020669295403627608,0.017436879614098677,0.00035741997097438194,0.015838824042367472,0.011093529682433267,0.007858526340697392,-0.013475177304964503,-0.006865008647977455,-0.021941248269980118,0.006286830751105699,0.019162351373042785,0.018564001936820285,0.010309317880007551,0.004980079605587662,-0.0036079740980454744,-0.0016260328008553815,-0.01913873851469783,0.024104200599049275,,-0.011558592614131946,0.584608233690842,-0.021035598705501535,5.03,-0.0029449215395246364,0.0019920318725101804
4251,2016-04-18,-0.012208724479157329,-0.0064429980796455455,0.0018531548853089053,-0.030150784774517714,-0.004807619022507814,0.004793307855085915,0.014970117371185365,-0.05614960677182401,-0.008264438383695727,0.009308089025185318,0.0824313072439633,0.012621782478966947,0.025771074620468015,-0.029873011390496695,0.024270054717966616,-0.0011204310825893016,0.01791524096866115,-0.003875909964270452,0.0,-0.018867995824705996,-0.001333316167195675,0.012411293352585728,0.0036133661206629863,0.004901995158388628,-0.007057163172454195,-0.0004162065527839598,0.016742717473845925,0.0,-0.002458009012699658,0.01125763933326196,0.00038388595680305393,0.00583089811581905,0.01813598313155662,0.017007725422393705,-0.004323637891485932,0.0,0.0017730677137635098,0.003314950848152698,-0.004347822030685733,-0.034342269790161084,,-0.005044051382069981,0.581083410100642,0.07394897592526051,4.8,0.029535921251033104,-0.045725646123260466
4256,2016-04-25,-0.07777775658501518,-0.0299166949080637,-0.022695707907230522,-0.04867252015929313,-0.03923133509355614,-0.006705503769588228,-0.02032521585926761,0.00990089058675303,0.019379787653096114,-0.018117564344745762,-0.029325513196480912,-0.023958996355483486,-0.03451587725965033,-0.028995762084567445,-0.02167673069038023,-0.01119820790398407,-0.043154653249271924,-0.016949109925497696,-0.037557723748313454,-0.016891875564834513,-0.04337898191863132,-0.025547874798680592,-0.020052353143512502,-0.024390220263873164,-0.007457407876417688,-0.023379507780818543,-0.04106772360676891,-0.014916059586853825,0.011215477358755166,-0.005066420670625238,-0.013312456554423369,-0.033850527897058,-0.0322025685983518,-0.0201340048780283,-0.0006207703272920195,-0.0037209444267805036,-0.011124175183402474,-0.015418518489265676,-0.02255645836920439,-0.05296127099679526,,0.01805031043973626,0.5380791574897803,0.026565845824411127,4.56,0.020257560850450496,-0.050000000000000044
4261,2016-05-02,0.0,0.01205143977237677,-0.006418899971321834,0.0,-0.07299262463622536,0.0,-0.0029027549077029757,0.012918276098247139,0.0,-0.0009014485934306649,-0.05520169851380041,-0.005947264617141457,-0.036630714421619914,-0.011411172300276773,-0.007965634999848037,0.009249167138280612,-0.026715228839801153,-0.010669238510194523,0.0007924925671225491,0.0,0.0,-0.003795651623802465,0.003740061991061694,-0.019834750314673077,-0.008267614267454815,-0.008056301603059812,-0.028571483636743555,-0.0006413781182887934,-0.0020790020790020236,0.009983916597473774,-0.0012264423720244055,0.0050360180158002255,-0.013181173452012529,-0.011083421977213237,0.002607621715704722,-0.013096365817543809,-0.0011547168115826345,-0.0032644509986577974,0.0,-0.03675151822045064,,0.0075637990002631605,0.4772724277751165,-0.016426569324033746,4.57,-0.019970135643511355,0.002192982456140413
4266,2016-05-09,-0.009999973250597871,-0.012686130881574886,-0.0018825511798380434,0.023584996902807465,-0.08748869861317221,-0.02191359908492474,-0.02321982886713092,-0.020289089041642283,-0.025104662057818583,-0.0028337728612706226,-0.07561728395061729,-0.0025979411579167833,-0.045119344269281214,-0.022222278910680293,-0.011580254267813839,0.003289507256541535,-0.006105794578618151,-0.009523778929746207,-0.0023060924233155866,0.0315790019647364,0.02941173583166079,0.002130240216799306,0.0,0.006289280557500998,-0.0019493177387914784,-0.005319703186653424,-0.020392174814261588,0.02022926458708829,0.03065693430656924,0.01629726270841325,-0.016200875248200575,0.02774615980247086,-0.019218034942981133,-0.02582386587025176,0.018329917802469176,0.024630541871921263,0.015901041812226513,-0.004527465000421893,0.0036496315432303916,-0.02349874836681376,,0.005699408950182949,0.4481734899495556,-0.06348995957319892,4.78,-0.025881240195213873,0.045951859956236296
4271,2016-05-16,-0.07815787764797555,-0.0039761259099315716,-0.004742704283108745,-0.009090900224102638,0.02997744542193259,-0.011188424767020866,0.022727329024459175,-0.006248722981091692,0.004219329483800438,0.007961737615806763,-0.004456327985739805,-0.002726009328416601,0.015334569298821155,0.006281450934794597,0.0,0.0,0.0,0.0,0.0,-0.030201313286331244,-0.01886790755296608,-0.003443679499637864,-0.01918463363126699,-0.010791335285564085,0.0,0.010373892049083233,-0.003072266829567738,0.006557377049180246,0.0,0.028099173553719048,0.032654811715650434,0.0,0.002624979732415378,-0.000984930740303147,0.01213757933052495,0.00690332285708628,0.0005851732421722211,0.0,-0.01060069688994325,-0.014423153600765182,,0.0014063708599959535,0.4229817013674609,0.004953648007925748,4.76,0.0,-0.004184100418410108
4276,2016-05-23,0.014556679222233138,-0.00029263125047296334,-0.005541080453011937,0.04313730806719662,0.0023146553679964654,-0.0008530517490293876,-0.014263098796201579,-0.015622997053970522,0.008097077152637633,-0.004729162670291109,-0.012422360248447228,0.004703054836930232,-0.04177905239007118,-0.007767805656309967,-0.002050002277635521,-0.0005464814399760431,0.001651762142015567,0.002988002169362014,0.0,0.06796117928159462,0.06363630156871825,0.0031723320193759452,-0.0019065304600310862,-0.06136558626502853,0.003886513981510964,0.0,-0.009781799459297469,-0.01277139158396945,0.004379562043795637,0.018329917802469176,0.029774515047893413,0.006167373786039931,-0.0038000498600875288,-0.017611312462836426,-0.005897831712162072,-0.00964320182669931,-0.0028669725774003174,0.008301051606711685,0.037414929576505385,-0.029960122657598176,,0.006614387998636229,0.4218214909635913,0.02584325047531877,4.69,0.01553863130790556,-0.014705882352941013
4281,2016-05-30,-0.007390250411022481,0.02422910450191007,0.0005499670499045095,0.04098356651125812,0.0020875388348504664,0.0,0.0,-0.015622997053970522,0.01115244315471875,-0.0024713182006568246,0.019857029388403502,0.010348626463674071,0.009684211329409997,-0.007220267013503645,0.003594797510112935,0.0025974025974024872,0.006140608961328509,0.0009276296038052134,-0.0049504510320889095,0.017241362300696395,-0.009900980750178201,0.009742912122281844,0.0026361803751762114,0.0076401215165688985,0.0,-0.0016797340334491206,-0.0027739224439247145,0.0012172668565268996,0.007982583454281489,-0.003591170844841729,0.005645213762259127,-0.00041789505868383703,-0.006234954856648489,0.0031818056914012516,0.0006168466438101206,-0.0018536105172227701,0.007004244343848276,0.010476689701124364,0.0,0.0033489554601735527,,-0.0017421602787457413,0.40613218360074843,0.06569192751235575,4.58,0.03483378763328693,-0.023454157782516027
4286,2016-06-06,0.0,-0.0011030640563026717,0.0030071451914026603,-0.05394195427844106,0.050578052416078156,0.002504938615753849,0.0,-0.07916514702124822,0.0,-0.0070212030130353265,0.002572898799313883,0.0014032518812008288,-0.004640366865901968,0.0037546200436513466,-0.00231257269966767,0.0010604291716322933,0.0033333986326327114,0.0018957056705419806,0.0,-0.024221511806380325,-0.04369922891338862,-0.006880059749663325,0.00046126516333333534,-0.003616590139903897,0.0079848140818084,-0.003990860675320285,-0.00755282700333193,0.0,0.0008717129158797299,0.015017044015305014,-0.00041719771248660553,-0.020442911055977397,0.003324072799398836,0.0074018409803067176,0.0,0.0,0.0,-0.0005347919974098003,-0.03663000144099138,-0.018968098198404393,,0.0004087193460490246,0.4316993254638213,-0.05481481481481476,4.54,-0.027112082843449903,-0.008733624454148492
4291,2016-06-13,-0.0007353109265688662,-0.006569538796431851,-0.03343909080762064,-0.06944448583655727,-0.10082301834989149,-0.025088548719765957,-0.0317725847181346,-0.08181911323965863,-0.04918037592371616,-0.023180949111679672,-0.0914027149321267,-0.02901004403501717,-0.060899007434303765,-0.030797029658602537,-0.034503155506890315,-0.016884564272660274,-0.03455639548592182,-0.023368977291147397,-0.015969945418833675,-0.10399999618530276,-0.05999999719507565,-0.03320578759928572,-0.0310160669784445,-0.058879371516835755,-0.00635673764054745,-0.03767055795612573,-0.04897962297712055,-0.020874082743245537,-0.03338301043219072,0.003424657534246478,0.0008518082688926398,-0.019982271482783975,-0.021678470921388526,-0.03496490852119993,-0.02506598218184164,-0.015453669038853035,-0.02386361902410339,-0.010285731724330338,-0.09170307495422159,-0.05294114306905506,,0.029340203234578643,0.4712604542259577,-0.07564399618372641,4.64,-0.02672113743783311,0.022026431718061623
4296,2016-06-20,-0.00015869346167041165,0.031158989227423772,0.03815092784976937,0.0,-0.027008753069176494,0.0669683626154789,0.019575837409266716,0.12105035898541816,0.041493784690711966,0.020584938442354206,0.05170731707317078,0.04902188793359041,0.04516120940568946,0.03602774597639735,0.02739934196034155,0.03483718236491873,0.058866491393242404,0.028543322533785,-0.003729600040121017,0.0,0.0,0.028293286747680835,0.04087357022900595,0.030392175195585125,0.021382230752281073,0.027878809456873377,0.055276450944836464,0.03669718624341223,0.012428870919436896,0.00952376800329513,0.016379727246736087,0.020741364365373993,0.033984386996823046,0.03941141012613314,0.038069276766622195,0.04709415635793812,0.040209753211325916,0.028752157420869784,0.0,0.033996585687016356,,-0.04505877231171107,0.5077963925253911,0.06185491005603083,4.73,-0.006795735373725353,0.019396551724138122
