σ,σ_ss,n_default,degree,interm,interm_assets,eq_r_l,mean_liq,mean_ib_share,mean_eq_req,mean_n_share
4.001,-0.0,4,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
4.001,-0.0,1,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
4.001,-0.0,1,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
4.001,-0.0,1,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
4.001,-0.0,1,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
4.001,-0.0,7,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,7,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,10,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,1,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,7,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,1,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,7,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,1,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,1,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,1,1.7,0,0.0,0.0548828125,0.009990703566225024,0.12010185106743694,0.12894795116869448,0.6508206415006506
4.001,-0.0,2,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,9,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,4,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,5,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,1,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,1,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,6,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,1,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,1,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,1,1.4,0,0.0,0.08427734375000001,0.009993189959774149,0.10099933304293778,0.1344025822962469,0.6816390764185691
4.001,-0.0,4,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,10,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,9,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,1,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,2,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,7,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,1,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,2,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,1,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,1,2.0,0,0.0,0.04208984375,0.009996235717915724,0.10478390764388328,0.14758587362820008,0.5848921507755991
4.001,-0.0,4,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,4,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,7,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,2,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,1,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,1,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,1,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,1,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,1,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,1,1.1,0,0.0,0.037695264816284185,0.00997567590164067,0.09363548423166923,0.1241765963286241,0.7532231857627021
4.001,-0.0,4,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,4,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,4,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,7,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,1,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,1,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,1,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,1,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,1,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,1,0.9,0,0.0,0.019775390625000003,0.011262329537203946,0.10148364556897442,0.10194517147909403,0.8753660900359737
4.001,-0.0,8,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
4.001,-0.0,9,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
